model_name,data_file,trained_at,training_duration,num_layers,layer_sizes,learning_rate,epochs,batch_size,test_size,num_features,num_outputs,mae,rmse,r2,mape,max_error,median_ae,val_loss_best,best_epoch,inference_time_ms,activation,loss_function,optimizer,dropout_rate,early_stopping
model_2D_002__250509_164049,2D_002.csv,2025-05-09 16:40:49,121.812422,3,"[128, 64, 32]",0.001,50,16,0.2,6,1,0.0476108058442104,0.0970126354491799,0.994636062228,11185.301662283398,2.2788460364900374,0.0250720781890497,0.0081310663372278,8,0.0364262457722315,relu,mse,Adam,0.2,True
model_2D_002__250512_112410,2D_002.csv,2025-05-12 11:24:10,313.63195,4,"[256, 128, 64, 32]",0.0005,100,32,0.2,6,1,0.1026568001431445,0.502823901348088,0.8559016685684014,3154.901197880442,7.602224122580125,0.0076933575665188,0.0969908386468887,21,0.1337347877679307,tanh,mae,Nadam,0.3,True
model_2D_002__250512_113331,2D_002.csv,2025-05-12 11:33:31,560.368371,1,[128],0.001,100,16,0.2,6,1,0.0415509289458673,0.0963420523729777,0.9947099605232596,18526.791603315847,2.095018636282518,0.017921475636189,0.008403836749494,71,0.0245514977922786,swish,mse,Adam,0.2,True
model_2D_002__250512_113500,2D_002.csv,2025-05-12 11:35:00,87.725404,1,[64],0.005,100,64,0.2,6,1,0.0975427297022021,0.4132016789396709,0.902691387464651,24282.454219909912,6.726887952383592,0.0266262782805337,0.0931458175182342,49,0.0273669723824697,tanh,mae,Adam,0.1,True
model_2D_002__250512_115041,2D_002.csv,2025-05-12 11:50:41,939.910599,2,"[128, 64]",0.0005,200,8,0.2,6,1,0.0456152149657689,0.1847167242908964,0.9805535844504358,7956.389667725507,4.52831197887285,0.0127174282057452,0.0255487971007823,56,0.0423194087758076,tanh,mse,Nadam,0.3,True
model_2D_002__250512_115203,2D_002.csv,2025-05-12 11:52:03,80.905911,2,"[128, 64]",0.005,100,64,0.2,6,1,0.1227840696741985,0.3807656510124341,0.9173690677481438,37308.40058310839,6.619623910482957,0.0607433432674835,0.0344505533576011,26,0.0286029044636888,tanh,huber,Adam,0.5,True
model_2D_002__250512_115234,2D_002.csv,2025-05-12 11:52:34,30.713738,2,"[128, 64]",0.01,30,64,0.2,6,1,0.0736214371157815,0.1366150385786292,0.9893628779227625,20224.455913730555,2.67622400432451,0.0501900417717411,0.0167724061757326,3,0.0314908302448479,"<LeakyReLU name=leaky_re_lu, built=True>",mse,Nadam,0.1,True
model_2D_002__250512_121115,2D_002.csv,2025-05-12 12:11:15,1120.066444,1,[128],0.0001,100,8,0.2,6,1,0.2396705449777941,0.5626436087919366,0.8195761668750075,104253.38293130716,7.112109910543992,0.0778651598769405,0.2783074975013733,99,0.0263866615987958,tanh,mse,Adamax,0.3,True
model_2D_002__250512_121158,2D_002.csv,2025-05-12 12:11:58,42.108159,1,[128],0.005,200,64,0.2,6,1,0.2155121833437576,0.4698214816107253,0.874196458974565,58848.80646872839,6.150533925589159,0.1100589465956229,0.1955761313438415,11,0.0273239433893044,"<LeakyReLU name=leaky_re_lu, built=True>",mse,Adam,0.5,True
model_2D_002__250512_121337,2D_002.csv,2025-05-12 12:13:37,97.456575,3,"[512, 256, 128]",0.001,30,64,0.2,6,1,0.0356925122704073,0.0979528905766617,0.994531582830013,11772.621864815264,2.341581401864925,0.0125122699432746,0.0040217973291873,10,0.0460649400147609,swish,huber,Adam,0.3,True
